dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),24,0.126558,0.9636,,2808.536,105.601,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),25,0.123588,0.9636,,2923.214,106.754,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),26,0.120118,0.9648,,3039.222,107.766,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),27,0.11781,0.9648,,3154.186,106.915,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),28,0.116394,0.9655,,3272.515,110.276,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),29,0.116202,0.9648,,3386.305,105.805,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),30,0.113598,0.9655,,3501.456,107.145,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),31,0.11177,0.9664,,3616.237,107.139,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),32,0.111582,0.9665,,3729.374,104.729,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),33,0.107876,0.9687,,3844.859,106.96,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),34,0.106125,0.9677,,3959.916,107.076,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),35,0.105726,0.9691,,4073.763,105.726,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),36,0.102716,0.9688,,4189.186,107.392,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),37,0.101853,0.9687,,4304.907,107.613,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),38,0.100342,0.9702,,4419.623,106.443,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),39,0.098905,0.9703,,4537.342,109.717,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),40,0.097851,0.9713,,4650.787,105.369,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),41,0.097205,0.9703,,4776.332,113.692,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),42,0.094202,0.9714,,4902.53,118.175,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),43,0.094032,0.9708,,5017.836,107.453,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),44,0.093183,0.972,,5133.791,107.837,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),45,0.092179,0.9726,,5246.052,104.078,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),46,0.090154,0.9722,,5359.955,105.788,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),47,0.088818,0.9741,,5483.982,112.056,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),48,0.087581,0.9726,,5601.289,109.37,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
