dataset,n_clients,local_epochs,dropout_rate,backend,round,loss,accuracy
mnist,5,1,0.5,original,10,0.046295,0.9847
mnist,5,1,0.5,original,11,0.040945,0.9866
mnist,5,1,0.5,original,12,0.044932,0.9857
mnist,5,1,0.5,original,13,0.047799,0.9845
mnist,5,1,0.5,original,14,0.041809,0.9863
mnist,5,1,0.5,original,15,0.040843,0.9869
mnist,5,1,0.5,original,16,0.038783,0.9879
mnist,5,1,0.5,original,17,0.03791,0.9871
mnist,5,1,0.5,original,18,0.035025,0.9891
mnist,5,1,0.5,original,19,0.032994,0.9893
mnist,5,1,0.5,original,20,0.041047,0.9869
mnist,5,1,0.5,pq,1,0.17995,0.9475
mnist,5,1,0.5,pq,2,0.115664,0.9653
mnist,5,1,0.5,pq,3,0.090486,0.9727
mnist,5,1,0.5,pq,4,0.079736,0.9771
mnist,5,1,0.5,pq,5,0.074928,0.9764
mnist,5,1,0.5,pq,6,0.059187,0.9808
mnist,5,1,0.5,pq,7,0.052742,0.9826
mnist,5,1,0.5,pq,8,0.052455,0.9827
mnist,5,1,0.5,pq,9,0.050152,0.9839
mnist,5,1,0.5,pq,10,0.046295,0.9847
mnist,5,1,0.5,pq,11,0.040945,0.9866
mnist,5,1,0.5,pq,12,0.044932,0.9857
mnist,5,1,0.5,pq,13,0.047799,0.9845
mnist,5,1,0.5,pq,14,0.041809,0.9863
mnist,5,1,0.5,pq,15,0.040843,0.9869
mnist,5,1,0.5,pq,16,0.038783,0.9879
mnist,5,1,0.5,pq,17,0.03791,0.9871
mnist,5,1,0.5,pq,18,0.035025,0.9891
mnist,5,1,0.5,pq,19,0.032994,0.9893
mnist,5,1,0.5,pq,20,0.041047,0.9869
mnist,5,3,0.0,original,1,0.084024,0.974
mnist,5,3,0.0,original,2,0.053183,0.9823
mnist,5,3,0.0,original,3,0.045055,0.9848
mnist,5,3,0.0,original,4,0.038706,0.9877
mnist,5,3,0.0,original,5,0.03621,0.9876
mnist,5,3,0.0,original,6,0.033493,0.9886
mnist,5,3,0.0,original,7,0.032432,0.9884
mnist,5,3,0.0,original,8,0.03291,0.9881
mnist,5,3,0.0,original,9,0.030322,0.9897
mnist,5,3,0.0,original,10,0.030744,0.9897
mnist,5,3,0.0,original,11,0.029619,0.9902
mnist,5,3,0.0,original,12,0.029852,0.9902
mnist,5,3,0.0,original,13,0.029248,0.9903
mnist,5,3,0.0,original,14,0.029335,0.99
mnist,5,3,0.0,original,15,0.028984,0.9906
mnist,5,3,0.0,original,16,0.028396,0.9907
mnist,5,3,0.0,original,17,0.028974,0.9909
mnist,5,3,0.0,original,18,0.029123,0.991
mnist,5,3,0.0,original,19,0.030289,0.9902
mnist,5,3,0.0,original,20,0.030359,0.9908
mnist,5,3,0.0,pq,1,0.084024,0.974
mnist,5,3,0.0,pq,2,0.053183,0.9823
mnist,5,3,0.0,pq,3,0.045055,0.9848
mnist,5,3,0.0,pq,4,0.038706,0.9877
mnist,5,3,0.0,pq,5,0.03621,0.9876
mnist,5,3,0.0,pq,6,0.033493,0.9886
mnist,5,3,0.0,pq,7,0.032432,0.9884
mnist,5,3,0.0,pq,8,0.03291,0.9881
mnist,5,3,0.0,pq,9,0.030322,0.9897
mnist,5,3,0.0,pq,10,0.030744,0.9897
mnist,5,3,0.0,pq,11,0.029619,0.9902
mnist,5,3,0.0,pq,12,0.029852,0.9902
mnist,5,3,0.0,pq,13,0.029248,0.9903
mnist,5,3,0.0,pq,14,0.029335,0.99
mnist,5,3,0.0,pq,15,0.028984,0.9906
mnist,5,3,0.0,pq,16,0.028396,0.9907
mnist,5,3,0.0,pq,17,0.028974,0.9909
mnist,5,3,0.0,pq,18,0.029123,0.991
mnist,5,3,0.0,pq,19,0.030289,0.9902
mnist,5,3,0.0,pq,20,0.030359,0.9908
mnist,5,3,0.05,original,1,0.084024,0.974
mnist,5,3,0.05,original,2,0.053183,0.9823
mnist,5,3,0.05,original,3,0.044206,0.9864
mnist,5,3,0.05,original,4,0.039784,0.9868
mnist,5,3,0.05,original,5,0.036176,0.9878
mnist,5,3,0.05,original,6,0.033804,0.9888
mnist,5,3,0.05,original,7,0.033603,0.9885
mnist,5,3,0.05,original,8,0.03301,0.9889
mnist,5,3,0.05,original,9,0.031633,0.989
mnist,5,3,0.05,original,10,0.030504,0.99
mnist,5,3,0.05,original,11,0.030508,0.9901
mnist,5,3,0.05,original,12,0.029077,0.991
mnist,5,3,0.05,original,13,0.028921,0.9907
mnist,5,3,0.05,original,14,0.028296,0.9908
mnist,5,3,0.05,original,15,0.030123,0.9899
mnist,5,3,0.05,original,16,0.028988,0.9906
mnist,5,3,0.05,original,17,0.030366,0.9908
mnist,5,3,0.05,original,18,0.02908,0.9906
mnist,5,3,0.05,original,19,0.029833,0.9907
mnist,5,3,0.05,original,20,0.030094,0.9906
mnist,5,3,0.05,pq,1,0.084024,0.974
mnist,5,3,0.05,pq,2,0.053183,0.9823
mnist,5,3,0.05,pq,3,0.044206,0.9864
mnist,5,3,0.05,pq,4,0.039784,0.9868
mnist,5,3,0.05,pq,5,0.036176,0.9878
