scenario,algorithm,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,phase,time_sec
clients,original,Original (DH + ECDSA),DH,classic,300,0.3,50000,verify_sigs,8.474577
clients,original,Original (DH + ECDSA),DH,classic,300,0.3,50000,masked_input,1871.213629
clients,original,Original (DH + ECDSA),DH,classic,300,0.3,50000,unmasking,570.45174
clients,original,Original (DH + ECDSA),DH,classic,300,0.3,50000,total,2457.278141
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.3,50000,advertise_keys,29.343895
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.3,50000,share_keys,259.596411
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.3,50000,verify_sigs,1075.516569
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.3,50000,masked_input,221.428968
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.3,50000,unmasking,13.480587
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.3,50000,total,1599.366431
clients,original,Original (DH + ECDSA),DH,classic,400,0.3,50000,advertise_keys,12.413118
clients,original,Original (DH + ECDSA),DH,classic,400,0.3,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,400,0.3,50000,verify_sigs,20.577365
clients,original,Original (DH + ECDSA),DH,classic,400,0.3,50000,masked_input,7189.834408
clients,original,Original (DH + ECDSA),DH,classic,400,0.3,50000,unmasking,990.270447
clients,original,Original (DH + ECDSA),DH,classic,400,0.3,50000,total,8213.095338
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.3,50000,advertise_keys,34.546797
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.3,50000,share_keys,443.605468
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.3,50000,verify_sigs,1604.664596
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.3,50000,masked_input,364.071548
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.3,50000,unmasking,18.549385
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.3,50000,total,2465.437794
clients,original,Original (DH + ECDSA),DH,classic,500,0.3,50000,advertise_keys,12.119898
clients,original,Original (DH + ECDSA),DH,classic,500,0.3,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,500,0.3,50000,verify_sigs,24.535947
clients,original,Original (DH + ECDSA),DH,classic,500,0.3,50000,masked_input,5244.842051
clients,original,Original (DH + ECDSA),DH,classic,500,0.3,50000,unmasking,1602.819854
clients,original,Original (DH + ECDSA),DH,classic,500,0.3,50000,total,6884.31775
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,advertise_keys,35.590832
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,share_keys,685.120353
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,verify_sigs,2420.078409
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,masked_input,572.006849
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,unmasking,29.414042
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.3,50000,total,3742.210484
dropout,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,advertise_keys,2.808632
dropout,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,share_keys,1e-06
dropout,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,verify_sigs,1.382437
dropout,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,masked_input,293.698273
dropout,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,unmasking,0.003063
dropout,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,total,297.892406
dropout,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,advertise_keys,9.561981
dropout,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,share_keys,26.778783
dropout,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,verify_sigs,136.074551
dropout,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,masked_input,44.859706
dropout,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,unmasking,0.003998
dropout,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,total,217.279019
dropout,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,advertise_keys,2.797421
dropout,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,share_keys,1e-06
