dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),7,0.053239,0.9826,,826.577,115.085,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),8,0.050371,0.9831,,950.889,120.208,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),9,0.047476,0.984,,1070.703,115.758,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),10,0.045211,0.9846,,1183.613,108.874,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),11,0.043411,0.9847,,1309.856,122.138,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),12,0.041549,0.9853,,1433.503,119.529,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),13,0.040129,0.9861,,1549.222,111.579,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),14,0.039834,0.9868,,1672.422,119.03,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),15,0.038194,0.9873,,1783.586,106.977,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),16,0.037557,0.9873,,1907.122,119.367,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),17,0.037013,0.9875,,2037.273,125.954,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),18,0.035998,0.9875,,2160.247,118.705,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),19,0.036158,0.988,,2284.574,120.157,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),20,0.035185,0.9884,,2410.686,121.939,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),21,0.035179,0.9884,,2538.244,123.259,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),22,0.03464,0.9885,,2661.965,119.523,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),23,0.034012,0.9889,,2787.186,121.012,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),24,0.033484,0.9887,,2892.81,101.414,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),25,0.033358,0.9893,,3013.649,116.669,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
