dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),16,0.037614,0.9874,,2401.137,150.257,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),17,0.036731,0.9875,,2558.601,152.061,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),18,0.036573,0.9878,,2719.489,155.585,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),19,0.035756,0.9879,,2875.308,150.44,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),20,0.035257,0.988,,3036.668,155.986,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),21,0.035002,0.9884,,14940.023,11898.079,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),22,0.034522,0.9884,,15047.065,103.248,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),23,0.033658,0.9891,,15159.705,108.502,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),24,0.033475,0.9887,,15277.719,113.696,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),25,0.033298,0.9894,,15400.516,118.411,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
